,title,genre,url
38,비밀 사이,로맨스,https://webtoon.kakao.com/content/%EB%B9%84%EB%B0%80-%EC%82%AC%EC%9D%B4/1943
39,지옥사원,판타지 드라마,https://webtoon.kakao.com/content/%EC%A7%80%EC%98%A5%EC%82%AC%EC%9B%90/1369
40,사랑하는 존재,로맨스,https://webtoon.kakao.com/content/%EC%82%AC%EB%9E%91%ED%95%98%EB%8A%94-%EC%A1%B4%EC%9E%AC/1998
41,멸종인간,공포/스릴러,https://webtoon.kakao.com/content/%EB%A9%B8%EC%A2%85%EC%9D%B8%EA%B0%84/1705
42,딩스뚱스,코믹/일상,https://webtoon.kakao.com/content/%EB%94%A9%EC%8A%A4%EB%9A%B1%EC%8A%A4/760
43,단두 (斷頭),액션/무협,https://webtoon.kakao.com/content/%EB%8B%A8%EB%91%90-%E6%96%B7%E9%A0%AD/1825
44,우리집이거든요!,로맨스,https://webtoon.kakao.com/content/%EC%9A%B0%EB%A6%AC%EC%A7%91%EC%9D%B4%EA%B1%B0%EB%93%A0%EC%9A%94/1673
45,골드핸즈,로맨스,https://webtoon.kakao.com/content/%EA%B3%A8%EB%93%9C%ED%95%B8%EC%A6%88/2117
46,신랑이 사라졌다,드라마,https://webtoon.kakao.com/content/%EC%8B%A0%EB%9E%91%EC%9D%B4-%EC%82%AC%EB%9D%BC%EC%A1%8C%EB%8B%A4/2034
47,기프트,판타지 드라마,https://webtoon.kakao.com/content/%EA%B8%B0%ED%94%84%ED%8A%B8/2140
48,악한 기사,로맨스 판타지,https://webtoon.kakao.com/content/%EC%95%85%ED%95%9C-%EA%B8%B0%EC%82%AC/2152
49,아싸클럽,드라마,https://webtoon.kakao.com/content/%EC%95%84%EC%8B%B8%ED%81%B4%EB%9F%BD/1930
50,우주를 삼킨 별,로맨스,https://webtoon.kakao.com/content/%EC%9A%B0%EC%A3%BC%EB%A5%BC-%EC%82%BC%ED%82%A8-%EB%B3%84/2516
51,트리거,학원/판타지,https://webtoon.kakao.com/content/%ED%8A%B8%EB%A6%AC%EA%B1%B0/2364
52,환상의 아이들,판타지 드라마,https://webtoon.kakao.com/content/%ED%99%98%EC%83%81%EC%9D%98-%EC%95%84%EC%9D%B4%EB%93%A4/2144
53,그녀의 앵무새,판타지 드라마,https://webtoon.kakao.com/content/%EA%B7%B8%EB%85%80%EC%9D%98-%EC%95%B5%EB%AC%B4%EC%83%88/1863
54,화폐개혁,판타지 드라마,https://webtoon.kakao.com/content/%ED%99%94%ED%8F%90%EA%B0%9C%ED%98%81/1877
55,해피하우스,공포/스릴러,https://webtoon.kakao.com/content/%ED%95%B4%ED%94%BC%ED%95%98%EC%9A%B0%EC%8A%A4/2151
56,대선비쇼에 어서오세요!,드라마,https://webtoon.kakao.com/content/%EB%8C%80%EC%84%A0%EB%B9%84%EC%87%BC%EC%97%90-%EC%96%B4%EC%84%9C%EC%98%A4%EC%84%B8%EC%9A%94/2017
57,악마의 편집,공포/스릴러,https://webtoon.kakao.com/content/%EC%95%85%EB%A7%88%EC%9D%98-%ED%8E%B8%EC%A7%91/2021
58,개목걸이,학원/판타지,https://webtoon.kakao.com/content/%EA%B0%9C%EB%AA%A9%EA%B1%B8%EC%9D%B4/2046
59,니니툰즈,코믹/일상,https://webtoon.kakao.com/content/%EB%8B%88%EB%8B%88%ED%88%B0%EC%A6%88/2484
60,뱀파이어 신드롬,학원/판타지,https://webtoon.kakao.com/content/%EB%B1%80%ED%8C%8C%EC%9D%B4%EC%96%B4-%EC%8B%A0%EB%93%9C%EB%A1%AC/1898
61,닥터 파인의 하루,판타지 드라마,https://webtoon.kakao.com/content/%EB%8B%A5%ED%84%B0-%ED%8C%8C%EC%9D%B8%EC%9D%98-%ED%95%98%EB%A3%A8/1827
62,유부녀 킬러,드라마,https://webtoon.kakao.com/content/%EC%9C%A0%EB%B6%80%EB%85%80-%ED%82%AC%EB%9F%AC/1963
63,말하지 말까,로맨스,https://webtoon.kakao.com/content/%EB%A7%90%ED%95%98%EC%A7%80-%EB%A7%90%EA%B9%8C/1875
64,두번째 썸,로맨스,https://webtoon.kakao.com/content/%EB%91%90%EB%B2%88%EC%A7%B8-%EC%8D%B8/2047
65,금수친구들,코믹/일상,https://webtoon.kakao.com/content/%EA%B8%88%EC%88%98%EC%B9%9C%EA%B5%AC%EB%93%A4/1909
66,천광명월,액션/무협,https://webtoon.kakao.com/content/%EC%B2%9C%EA%B4%91%EB%AA%85%EC%9B%94/2153
67,수린당 -비늘 고치는 집-,판타지 드라마,https://webtoon.kakao.com/content/%EC%88%98%EB%A6%B0%EB%8B%B9-%EB%B9%84%EB%8A%98-%EA%B3%A0%EC%B9%98%EB%8A%94-%EC%A7%91/2074
68,블랙 베히모스,학원/판타지,https://webtoon.kakao.com/content/%EB%B8%94%EB%9E%99-%EB%B2%A0%ED%9E%88%EB%AA%A8%EC%8A%A4/792
69,후크,학원/판타지,https://webtoon.kakao.com/content/%ED%9B%84%ED%81%AC/1381
70,좋아하면 울리는,판타지 드라마,https://webtoon.kakao.com/content/%EC%A2%8B%EC%95%84%ED%95%98%EB%A9%B4-%EC%9A%B8%EB%A6%AC%EB%8A%94/1132
71,칼집의 아이,학원/판타지,https://webtoon.kakao.com/content/%EC%B9%BC%EC%A7%91%EC%9D%98-%EC%95%84%EC%9D%B4/2368
72,악녀의 탄생,로맨스 판타지,https://webtoon.kakao.com/content/%EC%95%85%EB%85%80%EC%9D%98-%ED%83%84%EC%83%9D/2049
73,구원,액션/무협,https://webtoon.kakao.com/content/%EA%B5%AC%EC%9B%90/2130
74,방구석 여포,학원/판타지,https://webtoon.kakao.com/content/%EB%B0%A9%EA%B5%AC%EC%84%9D-%EC%97%AC%ED%8F%AC/2118
75,소쩍이 운다,드라마,https://webtoon.kakao.com/content/%EC%86%8C%EC%A9%8D%EC%9D%B4-%EC%9A%B4%EB%8B%A4/2135
76,죽어도! 치우,학원/판타지,https://webtoon.kakao.com/content/%EC%A3%BD%EC%96%B4%EB%8F%84-%EC%B9%98%EC%9A%B0/1923
77,조국이 당신을 원한다,코믹/일상,https://webtoon.kakao.com/content/%EC%A1%B0%EA%B5%AD%EC%9D%B4-%EB%8B%B9%EC%8B%A0%EC%9D%84-%EC%9B%90%ED%95%9C%EB%8B%A4/2390
78,저승사자 온라인,학원/판타지,https://webtoon.kakao.com/content/%EC%A0%80%EC%8A%B9%EC%82%AC%EC%9E%90-%EC%98%A8%EB%9D%BC%EC%9D%B8/2022
79,미드나잇 블루,로맨스,https://webtoon.kakao.com/content/%EB%AF%B8%EB%93%9C%EB%82%98%EC%9E%87-%EB%B8%94%EB%A3%A8/2073
80,이미테이션,로맨스,https://webtoon.kakao.com/content/%EC%9D%B4%EB%AF%B8%ED%85%8C%EC%9D%B4%EC%85%98/2301
81,하나하나둘,로맨스,https://webtoon.kakao.com/content/%ED%95%98%EB%82%98%ED%95%98%EB%82%98%EB%91%98/1853
82,슈퍼매치 1탄 : LoL BJ 멸망전,코믹/일상,https://webtoon.kakao.com/content/%EC%8A%88%ED%8D%BC%EB%A7%A4%EC%B9%98-1%ED%83%84-LoL-BJ-%EB%A9%B8%EB%A7%9D%EC%A0%84/2146
83,우리가 사랑하는 방법,로맨스,https://webtoon.kakao.com/content/%EC%9A%B0%EB%A6%AC%EA%B0%80-%EC%82%AC%EB%9E%91%ED%95%98%EB%8A%94-%EB%B0%A9%EB%B2%95/1468
84,CELL,판타지 드라마,https://webtoon.kakao.com/content/CELL/1960
85,니니툰즈,코믹/일상,https://webtoon.kakao.com/content/%EB%8B%88%EB%8B%88%ED%88%B0%EC%A6%88/2484
86,블랙윈터,로맨스 판타지,https://webtoon.kakao.com/content/%EB%B8%94%EB%9E%99%EC%9C%88%ED%84%B0/1678
87,샬롯에게는 다섯 명의 제자가 있다,로맨스 판타지,https://webtoon.kakao.com/content/%EC%83%AC%EB%A1%AF%EC%97%90%EA%B2%8C%EB%8A%94-%EB%8B%A4%EC%84%AF-%EB%AA%85%EC%9D%98-%EC%A0%9C%EC%9E%90%EA%B0%80-%EC%9E%88%EB%8B%A4/1796
88,러브 스트리밍,드라마,https://webtoon.kakao.com/content/%EB%9F%AC%EB%B8%8C-%EC%8A%A4%ED%8A%B8%EB%A6%AC%EB%B0%8D/2064
89,뽀짜툰,코믹/일상,https://webtoon.kakao.com/content/%EB%BD%80%EC%A7%9C%ED%88%B0/933
90,함께 춤을,로맨스,https://webtoon.kakao.com/content/%ED%95%A8%EA%BB%98-%EC%B6%A4%EC%9D%84/2048
91,프레너미,액션/무협,https://webtoon.kakao.com/content/%ED%94%84%EB%A0%88%EB%84%88%EB%AF%B8/1361
92,신의 태궁,판타지 드라마,https://webtoon.kakao.com/content/%EC%8B%A0%EC%9D%98-%ED%83%9C%EA%B6%81/1878
93,백의사자,판타지 드라마,https://webtoon.kakao.com/content/%EB%B0%B1%EC%9D%98%EC%82%AC%EC%9E%90/2042
94,시간이 머문 집,판타지 드라마,https://webtoon.kakao.com/content/%EC%8B%9C%EA%B0%84%EC%9D%B4-%EB%A8%B8%EB%AC%B8-%EC%A7%91/2020
95,침묵의 정원,로맨스 판타지,https://webtoon.kakao.com/content/%EC%B9%A8%EB%AC%B5%EC%9D%98-%EC%A0%95%EC%9B%90/2129
96,26번째 살인,판타지 드라마,https://webtoon.kakao.com/content/26%EB%B2%88%EC%A7%B8-%EC%82%B4%EC%9D%B8/2510
97,쑥,드라마,https://webtoon.kakao.com/content/%EC%91%A5/2119
98,록산,판타지 드라마,https://webtoon.kakao.com/content/%EB%A1%9D%EC%82%B0/1995
99,울화통 고등학교,코믹/일상,https://webtoon.kakao.com/content/%EC%9A%B8%ED%99%94%ED%86%B5-%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90/2512
100,저기요 손님,드라마,https://webtoon.kakao.com/content/%EC%A0%80%EA%B8%B0%EC%9A%94-%EC%86%90%EB%8B%98/1713
101,조국이 당신을 원한다,코믹/일상,https://webtoon.kakao.com/content/%EC%A1%B0%EA%B5%AD%EC%9D%B4-%EB%8B%B9%EC%8B%A0%EC%9D%84-%EC%9B%90%ED%95%9C%EB%8B%A4/2390
102,도깨비언덕에 왜 왔니?,판타지 드라마,https://webtoon.kakao.com/content/%EB%8F%84%EA%B9%A8%EB%B9%84%EC%96%B8%EB%8D%95%EC%97%90-%EC%99%9C-%EC%99%94%EB%8B%88/982
103,시월드 게임 -please save my husband-,판타지 드라마,https://webtoon.kakao.com/content/%EC%8B%9C%EC%9B%94%EB%93%9C-%EA%B2%8C%EC%9E%84--please-save-my-husband-/2420
104,재벌과의 인터뷰,로맨스,https://webtoon.kakao.com/content/%EC%9E%AC%EB%B2%8C%EA%B3%BC%EC%9D%98-%EC%9D%B8%ED%84%B0%EB%B7%B0/1861
105,나를 지켜줘,로맨스,https://webtoon.kakao.com/content/%EB%82%98%EB%A5%BC-%EC%A7%80%EC%BC%9C%EC%A4%98/2100
106,살어리랏다,공포/스릴러,https://webtoon.kakao.com/content/%EC%82%B4%EC%96%B4%EB%A6%AC%EB%9E%8F%EB%8B%A4/1939
107,논현동 장사꾼,드라마,https://webtoon.kakao.com/content/%EB%85%BC%ED%98%84%EB%8F%99-%EC%9E%A5%EC%82%AC%EA%BE%BC/1981
108,트러블,학원/판타지,https://webtoon.kakao.com/content/%ED%8A%B8%EB%9F%AC%EB%B8%94/2045
109,니니툰즈,코믹/일상,https://webtoon.kakao.com/content/%EB%8B%88%EB%8B%88%ED%88%B0%EC%A6%88/2484
110,백로식당,판타지 드라마,https://webtoon.kakao.com/content/%EB%B0%B1%EB%A1%9C%EC%8B%9D%EB%8B%B9/2075
111,갱스쿨,학원/판타지,https://webtoon.kakao.com/content/%EA%B0%B1%EC%8A%A4%EC%BF%A8/2322
112,스타의 학교생활,드라마,https://webtoon.kakao.com/content/%EC%8A%A4%ED%83%80%EC%9D%98-%ED%95%99%EA%B5%90%EC%83%9D%ED%99%9C/1924
113,나만 아는 사랑,로맨스,https://webtoon.kakao.com/content/%EB%82%98%EB%A7%8C-%EC%95%84%EB%8A%94-%EC%82%AC%EB%9E%91/1694
114,퀴퀴한 일기,코믹/일상,https://webtoon.kakao.com/content/%ED%80%B4%ED%80%B4%ED%95%9C-%EC%9D%BC%EA%B8%B0/1295
115,소녀신선,판타지 드라마,https://webtoon.kakao.com/content/%EC%86%8C%EB%85%80%EC%8B%A0%EC%84%A0/1304
116,남남,드라마,https://webtoon.kakao.com/content/%EB%82%A8%EB%82%A8/1762
117,불합격인간,드라마,https://webtoon.kakao.com/content/%EB%B6%88%ED%95%A9%EA%B2%A9%EC%9D%B8%EA%B0%84/2149
118,헤븐 투 헬,학원/판타지,https://webtoon.kakao.com/content/%ED%97%A4%EB%B8%90-%ED%88%AC-%ED%97%AC/1336
119,열무와 알타리,코믹/일상,https://webtoon.kakao.com/content/%EC%97%B4%EB%AC%B4%EC%99%80-%EC%95%8C%ED%83%80%EB%A6%AC/1855
120,우리가 헤어진 사이에,로맨스,https://webtoon.kakao.com/content/%EC%9A%B0%EB%A6%AC%EA%B0%80-%ED%97%A4%EC%96%B4%EC%A7%84-%EC%82%AC%EC%9D%B4%EC%97%90/2004
121,지금은 연애를 쉽니다,로맨스,https://webtoon.kakao.com/content/%EC%A7%80%EA%B8%88%EC%9D%80-%EC%97%B0%EC%95%A0%EB%A5%BC-%EC%89%BD%EB%8B%88%EB%8B%A4/2044
122,로엘린은 미래를 걷는다,로맨스 판타지,https://webtoon.kakao.com/content/%EB%A1%9C%EC%97%98%EB%A6%B0%EC%9D%80-%EB%AF%B8%EB%9E%98%EB%A5%BC-%EA%B1%B7%EB%8A%94%EB%8B%A4/2522
123,키몽의 호구로운 생활,코믹/일상,https://webtoon.kakao.com/content/%ED%82%A4%EB%AA%BD%EC%9D%98-%ED%98%B8%EA%B5%AC%EB%A1%9C%EC%9A%B4-%EC%83%9D%ED%99%9C/1577
124,더 챌린저,판타지 드라마,https://webtoon.kakao.com/content/%EB%8D%94-%EC%B1%8C%EB%A6%B0%EC%A0%80/2536
125,신락도,공포/스릴러,https://webtoon.kakao.com/content/%EC%8B%A0%EB%9D%BD%EB%8F%84/2132
126,파륜아이,공포/스릴러,https://webtoon.kakao.com/content/%ED%8C%8C%EB%A5%9C%EC%95%84%EC%9D%B4/1999
127,플러스 마이너스 제로,공포/스릴러,https://webtoon.kakao.com/content/%ED%94%8C%EB%9F%AC%EC%8A%A4-%EB%A7%88%EC%9D%B4%EB%84%88%EC%8A%A4-%EC%A0%9C%EB%A1%9C/2137
128,전생에 나라를 구한 자,학원/판타지,https://webtoon.kakao.com/content/%EC%A0%84%EC%83%9D%EC%97%90-%EB%82%98%EB%9D%BC%EB%A5%BC-%EA%B5%AC%ED%95%9C-%EC%9E%90/2089
129,체벌교사,학원/판타지,https://webtoon.kakao.com/content/%EC%B2%B4%EB%B2%8C%EA%B5%90%EC%82%AC/2090
130,날씨의 요정,판타지 드라마,https://webtoon.kakao.com/content/%EB%82%A0%EC%94%A8%EC%9D%98-%EC%9A%94%EC%A0%95/2126
131,불러줘 내 이름만,로맨스,https://webtoon.kakao.com/content/%EB%B6%88%EB%9F%AC%EC%A4%98-%EB%82%B4-%EC%9D%B4%EB%A6%84%EB%A7%8C/1919
