,title,writer,illustrator,genre,story,platform,thumb,url
722,오늘도 빨루,빨루,빨루,드라마만화,"빨루가 살아온 그리고 앞으로 살아갈 좌충우돌 인생 이야기.

<넘 많은 고양!> 빨루 작가의 데뷔작이 카카오페이지에 착륙했다! 

꿀잼 외전과 함께 보는 개그 일상툰 <오늘도 빨루>!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=l7OWm/hyZ8wqrP5g/lTzVUVZagp2bEy3irDNKl1&filename=th2,https://page.kakao.com/home?seriesId=57247603
723,한기담 : 천월의 별,대행도,대행도,"액션, 무협","선호국 경해왕 말기,
민생이 무너지고, 나라가 멸망에 가까워져 가던 시기.

선호국 근방에 있는 한 부락 촌장의 아들이였던 한여준은
활잡이들을 죽이라는 경해왕의 명을 받은 군사들에게 쫓기다가
요괴들의 습격으로 인해 부모님을 잃게 되고 임진곡에 사는
한 고수의 손에 거두어 지게 되는데...

요괴를 향한 복수,
그리고 그 뒤에 감춰진 진실들과
사건들이 얽힌 한여준의 이야기.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=cDy9c8/hy41O0k9Ky/7Jgqcu8lReeWjU8yqkObeK&filename=th2,https://page.kakao.com/home?seriesId=57231388
724,"태자 전하, 한입만요","랭이, 2396 comic studio","똘또, 2396 comic studio",드라마만화,"계나라 태순 10년, 병약한 태자가 자리보전하여 사경을 헤매자
황제는 국사 오연에게 초혼술(죽기 직전의 혼을 다시 육체에 불러들이는 의식)을 행하라 이른다.
그로 인해 태자는 다시 눈을 뜨지만 제 아비도 못 알아보고 헛소리를 하는데. 
알고 보니 오연이 불러들인 혼은 다름 아닌 초대 왕조의 태자-봉무예였던 것. 

결국 봉무예와 오연은 봉무예가 계속 미친 척하는 한편 오연이 먹을 사혼을 구해다 주고,
대신 오연이 봉무예의 정체를 감춰주기로 거래를 한다.

천년의 세월을 거쳐 잘 숙성된(?) 영혼─ 봉무예.
오연은 하루 하루가 즐겁고 초조하다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=jYXAk/hyATq9twEo/suf5cnjwVwTWNLdaIGRks1&filename=th2,https://page.kakao.com/home?seriesId=54283262
725,무권,하연,하연,"액션, 무협","영혼을 육체에 부여하는 힘, 무혼.

그러한 무혼을 구체화하여 여러 가지 능력을 사용해 전투에 임하는 자, '무권사'

무문 북원(武門 北院) 장문인의 직속 제자인 영무는 동료와 함께
모두가 탐내는 보물 '귀정부'를 탈취한 배신자를 잡고 귀정부를 되찾아오라는 임무를 받게 된다.

귀정부의 행방에 대한 단서를 포착한 그때, 그들에게 엄청난 시련이 닥쳐오는데…",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=WO9Qz/hyCvmD8NGB/WmVpVXQwkqCtSSoc7k10kK&filename=th2,https://page.kakao.com/home?seriesId=53577125
726,옆집남자,Sanyuan Studio,Sanyuan Studio,로맨스,"자신의 오해로 어떤 남자에게 성희롱범으로 몰린 여주인공,  알고보니 자신의 옆집에 살고 있는 외모, 능력뿐 아니라 요리실력까지 갖춘 완벽남이었던 것! 오해는 풀렸지만 지금과 같은 어색한 사이가 마음에 들지 않는 여주인공! 친해지기 위해 그 남자에게 들이대기 시작한다! 남자는 겉으로 표현은 안하지만 은근 그녀가 마음에 드는 듯 하지만 내색하진 않는다. 어느날 남주가 자신의 형과 같이 있는 모습을 본 여자 주인공은 그가 남자를 좋아한다는 오해를 하게 되는데....",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=b0UrK2/hyQ9QDSOKJ/3lANggkOASZF4bJrnyjwdk&filename=th2,https://page.kakao.com/home?seriesId=55608872
727,엔드와 세이브,이시려,이시려,소년만화,"악당이 주인공 주인공이 악당
사람을 죽이지 못하는(?)악당 엔드, 조수 세이브의 이야기",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=9RKmN/hyCvjOJVI5/5DDTfqouynrrMQupFjkyOk&filename=th2,https://page.kakao.com/home?seriesId=55281534
728,빌런리스트,오후 스튜디오,오후 스튜디오,소년만화,"초능력이 인간에게 발현된 이 후,
세계는 초능력자들로 인한 범죄가 들끓기 시작했다.
이를 막기 위해 12명의 예언자들이 미래에 범죄를 일으킬 예비 초능력 범죄자들의 위험 순위를 리스트로 작성하였는데 그것이 바로 '빌런 리스트'라고 불렀다.

그 리스트에서 1순위를 차지한 가장 위험한 초능력자였던 공화국 출신의 이청은
아무것도 모른 채 합중국에게 납치되어 수많은 실험과 고문을 당하게 되는데...",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=yXfj9/hyF25sGuU3/XaFk4PviYcXF0p61FHOEX0&filename=th2,https://page.kakao.com/home?seriesId=56107476
729,어른이,하힘,하힘,로맨스,"""20대가 되면 멋진 어른이 되는 줄 알았어.""

아직도 어른이 되어가는 어른이들의 성장 이야기",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=pWn8b/hyLjfCxp17/EQcoswMSvhPHy5FCQZxLYK&filename=th2,https://page.kakao.com/home?seriesId=55846491
730,공녀님의 우주선 ~로판에서 생존하기~,ROMEO_TANGO,영영,"로맨스, 판타지","내 이름은 수나Kim!
우주연맹 방위군 소속 중위다. 

어느 날, 
죽다 살아났더니 로판 세계의 
공녀님이 되었다?!

으음?? 잠깐! 
저주를 받아 죽음으로 내몰린 
공녀의 인생을 대신 살라고?!

미니멀 라이프를 미덕으로 삼는 우주인인데!
제국의 황태자 쟁탈전까지 참전?! 
기사단 입단?! 노오올랍다! 

“연애요?!”

“관심 없는데요?!”

“우주선 찾으면  
여길 뜰 건데요?!”

하지만 자꾸 엮이는
수상한 남자와의 로맨스는 어쩔?! 

무한경쟁 로판(노동) 생존기 START! 

‘우주 군인’ 수나kim이 판타지 세계로 차원이동! 랑트리 공작가의 공녀님과 영혼이 체인지되며 벌어지는 극한 생존 서바이벌. 낯설고 척박한(?) 판타지 세계에 추락해버린 우주선을 찾아 떠나는 짠돌이 공녀님의 눈물이 주룩주룩, 살벌 발랄 궁정 로맨스!

매주 금요일에 연재됩니다!!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=czx2G/hyCvlEFqFh/wG0KcfHlnWH2KqRDBomEBK&filename=th2,https://page.kakao.com/home?seriesId=54111438
731,수상한 단톡방,아이리더,아이리더,소년만화,"돈도, 인기도 없는 찌질남 해준.

그는 어느 날 모르는 사용자로부터 단톡방에 초대를 받게 되는데, 닉네임이 노자, 태백금성, 탁탑천왕이라고? 

어딘가 수상한 단톡방에서 얼떨결에 비책을 구매해버린 해준은 특별한 능력을 얻게 되고
그 단톡방이 평범한 곳이 아니라는 걸 눈치채는데...

정체 모를 단톡방 덕분에 180도 달라진 그의 캠퍼스 라이프가 시작된다!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=Yd0XO/hyoXB1FPPW/yQ7nAf9Du89a7UW1sdKlek&filename=th2,https://page.kakao.com/home?seriesId=52641052
