,title,img_src,url,platform
26,꼬리잡기,https://shared-comic.pstatic.net/thumb/webtoon/758666/thumbnail/thumbnail_IMAG10_4f99539c-4edc-494e-b6e2-3cc5369d7913.jpg,https://comic.naver.com/webtoon/list?titleId=758666&weekday=mon,naver
27,평범한 8반,https://shared-comic.pstatic.net/thumb/webtoon/597478/thumbnail/thumbnail_IMAG10_223dbebf-64c9-4de2-804d-0389d5c11d73.jpg,https://comic.naver.com/webtoon/list?titleId=597478&weekday=mon,naver
28,아는 여자애,https://shared-comic.pstatic.net/thumb/webtoon/738809/thumbnail/thumbnail_IMAG10_b405b08b-cb48-47ee-b6b7-10ecade65033.jpg,https://comic.naver.com/webtoon/list?titleId=738809&weekday=mon,naver
29,꿈의 기업,https://shared-comic.pstatic.net/thumb/webtoon/687915/thumbnail/thumbnail_IMAG10_e03acc4a-a1ce-4ebc-a021-e3cc07af5f20.jpg,https://comic.naver.com/webtoon/list?titleId=687915&weekday=mon,naver
30,수영만화일기,https://shared-comic.pstatic.net/thumb/webtoon/768534/thumbnail/thumbnail_IMAG10_aa734331-7228-4c02-9276-fbb7fcd27ef8.jpg,https://comic.naver.com/webtoon/list?titleId=768534&weekday=mon,naver
31,장난감,https://shared-comic.pstatic.net/thumb/webtoon/770656/thumbnail/thumbnail_IMAG10_6c736096-e0a0-4fd0-bc3f-9b8a283ce273.jpg,https://comic.naver.com/webtoon/list?titleId=770656&weekday=mon,naver
32,오빠집이 비어서,https://shared-comic.pstatic.net/thumb/webtoon/780414/thumbnail/thumbnail_IMAG10_6028bb20-4bca-4909-be2b-cfea8f01bd26.jpg,https://comic.naver.com/webtoon/list?titleId=780414&weekday=mon,naver
33,황제와의 하룻밤,https://shared-comic.pstatic.net/thumb/webtoon/758671/thumbnail/thumbnail_IMAG10_052d1275-3145-4c1a-b7ab-af39cf8a6599.jpg,https://comic.naver.com/webtoon/list?titleId=758671&weekday=mon,naver
34,"아, 쫌 참으세요 영주님!",https://shared-comic.pstatic.net/thumb/webtoon/774703/thumbnail/thumbnail_IMAG10_40c1ebe5-fbc4-40ff-9d9e-2655398a239c.jpg,https://comic.naver.com/webtoon/list?titleId=774703&weekday=mon,naver
35,칼가는 소녀,https://shared-comic.pstatic.net/thumb/webtoon/730174/thumbnail/thumbnail_IMAG10_df034319-e76a-42d5-a3dd-5412c67f29d4.jpg,https://comic.naver.com/webtoon/list?titleId=730174&weekday=mon,naver
