,title,writer,illustrator,genre,story,age
33,황제와의 하룻밤,예영,INUS,"스토리, 로맨스","술김에 하룻밤을 보낸 남자의 정체가... 무려 황제라고?겉은 아름다운 남작 영애, 속은 풍파에 쩌든 욕쟁이 할머니 '페넬로페'.""염병, 남자가 거기서 다 거기지.""그런 그녀에게 열렬히 구애하는 직진순정파 황제 '바트'!""나는 네가 필요해.""직진 황제와 독특한 영애의 본격 발랄 로맨스 판타지!",전체연령가
34,"아, 쫌 참으세요 영주님!",daybook,새우초밥,"스토리, 로맨스","작고 가난한 영지 ‘화이트’의 영주, 로즈.영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?! 막강 능력 영주님 ‘로즈’와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, ‘대마법사 이그드라실’의 유쾌 발랄 로맨스 판타지!",12세 이용가
35,칼가는 소녀휴재,오리,오리,"에피소드, 드라마",치사율 100%의 인싸 희귀병 소녀 '사랑'누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.네이버웹툰 최강자전 18년 대표작.,12세 이용가
36,순정말고 순종,슈안,슈안,"스토리, 로맨스",하루에 무려 쓰리잡. 스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?!2017 최강자전 대상 수상작 <늑대와 빨간모자> 슈안 작가의 차기작!,12세 이용가
37,영앤리치가 아니야!컷툰,최삡뺩,최삡뺩,"스토리, 개그","<공대생 너무만화> 최삡뺩 작가의 개그로맨스 신작! 모든 게 완벽한 퍼렁식품 CEO의 아들 서민준.어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다.민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고?사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!",전체연령가
38,최후의 금빛아이,알깨,새몽,"스토리, 판타지","언니의 생일날, 이 세계를 지배하는 신에 의해 모든 것을 잃은 소녀 록시.자신이 신들의 먹이에 불과하다는 충격적인 진실을 알게 된다.록시는 심장만 있으면 언니를 되살릴 수 있다는 말을 믿고 험난한 여행을 떠난다.그러나 곧 그녀를 뒤쫓는 자들과 감당할 수 없는 적들이 나타나는데...록시는 앞을 막아서는 그들을 물리치고 과연 언니를 되살릴 수 있을까?",12세 이용가
39,와이키키 뱀파이어,요니요니,요니요니,"스토리, 드라마",고졸 검정고시를 준비 중인 야식 배달원 뱀파이어 김군. 어느 날 그는 잘못된 주소로 배달을 갔다가 그곳에서 뱀파이어로 추정되는 한 여자와 마주치게 되는데…,15세 이용가
40,하루의 하루,김이랑,김이랑,"스토리, 드라마","오하루는 다른 사람의 마음을 읽을 수 있는 초능력자다.얼마 전, 저주 받은 능력 때문에 첫사랑도 허무하게 깨져버리고건조한 일상을 보내고 있던 하루에게 최근 신경쓰이는 사람이 생겼다.​그 사람은 바로, 같은 과 동기인 도하루.그녀의 마음은 도무지 보이지 않는다. 이건 혹시.. 운명..?",전체연령가
41,야생천사 보호구역,루시드,루시드,"스토리, 로맨스","천사 가브리엘은 악마들의 장난으로 동료천사 라파엘, 우리엘과 함께 인간 세상의 고양이로 변해버린다.아니 이게 어찌된 일인가! 낯선 인간 세상에서 고양이의 몸이라니!고양이가 되어버린 꽃미남 천사들과 그들의 집사가 된 소녀 은호의 세상에서 가장 무해한 로맨스! (※심장에는 유해함 주의)",전체연령가
42,모스크바의 여명,황장미,이샨오,"스토리, 드라마","21세의 피아니스트 이시윤.사고로 인해 피아노를 더 이상 칠 수 없게 된 삶을 비관하다 죽음을 택했지만,알아들을 수 없는 외국어로 얘기하는 갑부 집안에서소녀 '타티아나'로 눈을 뜬다.신이 주신 기회인 걸까? 아니면 저주인 걸까?성별이 바뀐 게 뭐 대수냐! 손만 멀쩡하다면 다시 피아노를 칠 수 있어!어차피 이렇게 된 거 '타티아나'로서 못다 한 꿈을 이뤄보자!",전체연령가
43,착한건 돈이된다,유성연,유성연,"스토리, 드라마","인기도 돈도 없는 삼류 스트리머 기찬수. 어느 날, 전 국민적 관심을 받던 '대낮 유괴사건'이 해결된다. 이를 해결한 '얼굴 없는 의인'은 CCTV 속 뒷모습만 남긴 채 사라졌고, 사람들의 궁금증은 점점 커져만 가는데... 사람들이 삼류 스트리머 기찬수의 영상 속 모습과 의인의 뒷모습이 유사함을 알게 되면서, 기찬수는 하루아침에 전 국민적 영웅이 된다. 기찬수의 영웅 행세는 과연 어디까지 갈 것인가.",전체연령가
44,사랑의 헌옷수거함,고잉,고잉,"스토리, 로맨스","짝사랑은 이제 그만! 고잉고등학교에서 가장 핫한 소문, 헌옷수거함에 돈을 넣고 좋아하는 사람의 이름을 외치면 상대방의 마음을 알려준다는데..!연애 대신 성적과 돈에만 관심 있는 송아람은 그런 소문에 휘둘리지 않는다.그런 아람의 일상에 학교 인기남 정진우가 불쑥 들어온다. 어디로 튈지 모르는 이 자식을 어떻게 해야 좋을까?",전체연령가
45,이제야 연애,서혜은,딘돈,"스토리, 로맨스","숨 막히게 가난한 삶을 살아온 자매, 주은과 혜진. 어머니의 죽음 후 둘 앞에 팔자에 없다 생각했던 ‘아버지’가 등장한다. 둘 중 하나가 대성그룹으로 들어온다면, 가난에 찌든 삶에서 구제해 주겠노라는 그의 제안에 언니 혜진이 나선다.그러나 대성그룹에 들어간 후, 3년만에 혜진은 허무하게 죽어버린다. 언니의 죽음을 막지 못한 무력감과 절망에 몸부림치던 주은.그녀에게 새로운 기회가 찾아온다. 3년 전으로 되돌아온 주은은 언니를 대신해 ‘대성그룹’의 딸이 되어 언니를 죽음으로 이끈 그 집으로 들어가는데….",12세 이용가
46,"선배, 그 립스틱 바르지 마요",까페라떼,JINHA,"스토리, 로맨스","좋아하는 직장선배의 애인이 다른 여자와 결혼한다고?복수를 제안하며 다가오는 완벽남의 설렘 100% 로맨틱 어택! 화장품 회사를 배경으로 잘생김, 섹시함, 진지함을 갖춘 직진남 후배와연하는 남자로 안 본다는 직선녀 선배두 사람의 밀당 & 설렘 로맨스",전체연령가
47,"또다시, 계약 부부",설우희,제제,"스토리, 로맨스","서로에게 강한 이끌림을 느꼈던 건하와 서연, 하지만 전혀 다른 삶을 살아왔던 두 남녀는 짧은 결혼 생활을 마치고 결국 이혼을 선택한다. 5년 뒤, 건하는 서연에게 또 한 번 '계약 부부'를 제안한다.  ""나와 다시 부부가 되어줘야겠어. 이번엔 꽤 사이좋은 부부로 말이야.""",전체연령가
48,왕따협상,아이아리,아이아리,"스토리, 드라마",일진의 괴롭힘과 어머니의 집착으로 하루하루 지옥 같은 나날들.왕따 주민성은 최악의 인생에서 벗어나기 위한 협상을 시작한다.,15세 이용가
49,원하는 건 너 하나,달콤J,sage,"스토리, 로맨스",대기업 경영권을 물려받으려면 5년 전 자신을 떠난 은율과 결혼해 1년 이상 살아야 한다는 할아버지의 유언.배신의 상처가 아직 크지만 어쩔 수 없이 5살 아이를 홀로 키우고 있는 은율과 어색한 동거를 시작하게 된다.,12세 이용가
50,백호랑,박혬,박혬,"스토리, 판타지",모든 것이 완벽해 보이는 지룡은 비밀스런 동거 중!사촌동생이자 고양이이자 수호자인 소년은 바로 서쪽의 신수 백호였다!과거의 죄를 씻기 위해 인간계에서 하늘의 심부름을 수행인 백호랑과 그에게 엮인 지룡의 스펙타클한 일상,전체연령가
51,이중첩자,피숙혜,옆집찰스,"스토리, 드라마","전쟁으로 모든 걸 잃은 후 첩자가 된 사샤,전쟁의 일등공신, 천사의 얼굴을 한 악마 장교 요한에게 발각되는데…!적국에 사로잡힌 첩자, 이중첩자가 되다!",15세 이용가
52,라서드,감람,감람,"스토리, 판타지","절대적 권능을 지닌 11인의 왕과, 왕을 수호하기 위한 기사단이 존재하는 세계.수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데...정식기사가 되기 위한 소년들의 고군분투 정통판타지액션!",12세 이용가
