,title,img_src,url,platform
28,거래,https://shared-comic.pstatic.net/thumb/webtoon/764022/thumbnail/thumbnail_IMAG10_0e26962e-2e11-4649-9a3a-faa1741a0ff4.jpg,https://comic.naver.com/webtoon/list?titleId=764022,naver
29,이츠마인,https://shared-comic.pstatic.net/thumb/webtoon/710760/thumbnail/thumbnail_IMAG10_0f9651ee-18f9-4fbb-bdf7-cded844fcb6d.jpg,https://comic.naver.com/webtoon/list?titleId=710760,naver
30,이세계 세입자들,https://shared-comic.pstatic.net/thumb/webtoon/776301/thumbnail/thumbnail_IMAG10_f14c0560-397e-42e8-b518-0595c1c8cda0.jpg,https://comic.naver.com/webtoon/list?titleId=776301,naver
31,구독금지,https://shared-comic.pstatic.net/thumb/webtoon/730466/thumbnail/thumbnail_IMAG10_9a910bcc-598d-41a6-bba0-739db6ecc322.jpg,https://comic.naver.com/webtoon/list?titleId=730466,naver
32,갓 오브 하이스쿨,https://shared-comic.pstatic.net/thumb/webtoon/318995/thumbnail/title_thumbnail_20110407182655_t83x90.jpg,https://comic.naver.com/webtoon/list?titleId=318995,naver
33,바른탕진 프로젝트,https://shared-comic.pstatic.net/thumb/webtoon/761102/thumbnail/thumbnail_IMAG10_a1ff5ded-1d8c-4131-afe0-7d5de71261f5.jpg,https://comic.naver.com/webtoon/list?titleId=761102,naver
34,나의 스마트보이,https://shared-comic.pstatic.net/thumb/webtoon/776300/thumbnail/thumbnail_IMAG10_8a0f1ec6-eb01-4c09-a56e-f668a8410419.jpg,https://comic.naver.com/webtoon/list?titleId=776300,naver
35,위치헌트 (Witch Hunt),https://shared-comic.pstatic.net/thumb/webtoon/776306/thumbnail/thumbnail_IMAG10_aa88262c-62b8-4c37-a825-a2b3912f75bd.jpg,https://comic.naver.com/webtoon/list?titleId=776306,naver
36,리턴 투 플레이어,https://shared-comic.pstatic.net/thumb/webtoon/752414/thumbnail/thumbnail_IMAG10_edfdf4b2-914c-4864-8966-7b65d52994e9.jpg,https://comic.naver.com/webtoon/list?titleId=752414,naver
37,두근두근 연극부,https://shared-comic.pstatic.net/thumb/webtoon/758663/thumbnail/thumbnail_IMAG10_e92c24f6-cc1a-436b-9645-728ccfa3408b.jpg,https://comic.naver.com/webtoon/list?titleId=758663,naver
38,두번째 생일,https://shared-comic.pstatic.net/thumb/webtoon/739292/thumbnail/thumbnail_IMAG10_d07c8396-80ec-4f39-903a-8b42b8ca2ce4.jpg,https://comic.naver.com/webtoon/list?titleId=739292,naver
39,언플래시레슨,https://shared-comic.pstatic.net/thumb/webtoon/762778/thumbnail/thumbnail_IMAG10_1e555641-677b-43f9-962e-7db9b5a692f9.jpg,https://comic.naver.com/webtoon/list?titleId=762778,naver
