,title,illustrator,writer,platform,url,img_src,genre
34,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
35,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
36,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
37,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
38,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
39,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
40,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
41,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
42,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
43,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
44,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
45,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
46,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
47,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
48,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
49,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
50,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
51,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
52,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
53,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
54,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
55,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
56,꼴데툰 2021,샤다라빠,샤다라빠,lezhin,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/thumbnails/1,gag
